Iteration, Elapsed time in milliseconds 
1, 1
2, 1
3, 0
4, 1
5, 1
6, 1
7, 0
8, 1
9, 1
10, 1
11, 0
12, 1
13, 1
14, 1
15, 0
16, 1
17, 1
18, 1
19, 0
20, 1
21, 1
22, 1
23, 0
24, 1
25, 1
26, 1
27, 0
28, 1
29, 1
30, 1
31, 0
32, 1
33, 1
34, 1
35, 0
36, 1
37, 1
38, 0
39, 1
40, 1
41, 1
42, 0
43, 1
44, 1
45, 1
46, 0
47, 1
48, 1
49, 1
50, 0
51, 1
52, 1
53, 1
54, 0
55, 1
56, 1
57, 1
58, 0
59, 1
60, 1
61, 1
62, 0
63, 1
64, 1
65, 1
66, 0
67, 1
68, 1
69, 1
70, 0
71, 1
72, 1
73, 1
74, 0
75, 1
76, 1
77, 1
78, 0
79, 1
80, 1
81, 1
82, 0
83, 1
84, 1
85, 1
86, 0
87, 1
88, 1
89, 1
90, 0
91, 1
92, 1
93, 1
94, 0
95, 1
96, 1
97, 0
98, 1
99, 1
100, 1
